#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-03-26 16:32:09.718
#Sample rate: 10000Hz
#Samples: 4096

Time (s),DIO 0,DIO 1,DIO 2,DIO 3,DIO 4,DIO 5,DIO 6,DIO 7
-0.030700000000000002,0,0,0,0,0,0,0,0
-0.030599999999999999,0,0,0,0,0,0,0,0
-0.030499999999999999,0,0,0,0,0,0,0,0
-0.0304,0,0,0,0,0,0,0,0
-0.030300000000000001,0,0,0,0,0,0,0,0
-0.030200000000000001,0,0,0,0,0,0,0,0
-0.030099999999999998,0,0,0,0,0,0,0,0
-0.029999999999999999,0,0,0,0,0,0,0,0
-0.029899999999999999,0,0,0,0,0,0,0,0
-0.0298,0,0,0,0,0,0,0,0
-0.029700000000000001,0,0,0,0,0,0,0,0
-0.029600000000000001,0,0,0,0,0,0,0,0
-0.029499999999999998,0,0,0,0,0,0,0,0
-0.029399999999999999,0,0,0,0,0,0,0,0
-0.0293,0,0,0,0,0,0,0,0
-0.0292,0,0,0,0,0,0,0,0
-0.029100000000000001,0,0,0,0,0,0,0,0
-0.029000000000000001,0,0,0,0,0,0,0,0
-0.028899999999999999,0,0,0,0,0,0,0,0
-0.028799999999999999,0,0,0,0,0,0,0,0
-0.0287,0,0,0,0,0,0,0,0
-0.0286,0,0,0,0,0,0,0,0
-0.028500000000000001,0,0,0,0,0,0,0,0
-0.028400000000000002,0,0,0,0,0,0,0,0
-0.028299999999999999,0,0,0,0,0,0,0,0
-0.028199999999999999,0,0,0,0,0,0,0,0
-0.0281,0,0,0,0,0,0,0,0
-0.028000000000000001,0,0,0,0,0,0,0,0
-0.027900000000000001,0,0,0,0,0,0,0,0
-0.027799999999999998,0,0,0,0,0,0,0,0
-0.027699999999999999,0,0,0,0,0,0,0,0
-0.0276,0,0,0,0,0,0,0,0
-0.0275,0,0,0,0,0,0,0,0
-0.027400000000000001,0,0,0,0,0,0,0,0
-0.027300000000000001,0,0,0,0,0,0,0,0
-0.027199999999999998,0,0,0,0,0,0,0,0
-0.027099999999999999,0,0,0,0,0,0,0,0
-0.027,0,0,0,0,0,0,0,0
-0.0269,0,0,0,0,0,0,0,0
-0.026800000000000001,0,0,0,0,0,0,0,0
-0.026700000000000002,0,0,0,0,0,0,0,0
-0.026599999999999999,0,0,0,0,0,0,0,0
-0.026499999999999999,0,0,0,0,0,0,0,0
-0.0264,0,0,0,0,0,0,0,0
-0.0263,0,0,0,0,0,0,0,0
-0.026200000000000001,0,0,0,0,0,0,0,0
-0.026100000000000002,0,0,0,0,0,0,0,0
-0.025999999999999999,0,0,0,0,0,0,0,0
-0.025899999999999999,0,0,0,0,0,0,0,0
-0.0258,0,0,0,0,0,0,0,0
-0.025700000000000001,0,0,0,0,0,0,0,0
-0.025600000000000001,0,0,0,0,0,0,0,0
-0.025499999999999998,0,0,0,0,0,0,0,0
-0.025399999999999999,0,0,0,0,0,0,0,0
-0.0253,0,0,0,0,0,0,0,0
-0.0252,0,0,0,0,0,0,0,0
-0.025100000000000001,0,0,0,0,0,0,0,0
-0.025000000000000001,0,0,0,0,0,0,0,0
-0.024899999999999999,0,0,0,0,0,0,0,0
-0.024799999999999999,0,0,0,0,0,0,0,0
-0.0247,0,0,0,0,0,0,0,0
-0.0246,0,0,0,0,0,0,0,0
-0.024500000000000001,0,0,0,0,0,0,0,0
-0.024400000000000002,0,0,0,0,0,0,0,0
-0.024299999999999999,0,0,0,0,0,0,0,0
-0.024199999999999999,0,0,0,0,0,0,0,0
-0.0241,0,0,0,0,0,0,0,0
-0.024,0,0,0,0,0,0,0,0
-0.023900000000000001,0,0,0,0,0,0,0,0
-0.023800000000000002,0,0,0,0,0,0,0,0
-0.023699999999999999,0,0,0,0,0,0,0,0
-0.023599999999999999,0,0,0,0,0,0,0,0
-0.0235,0,0,0,0,0,0,0,0
-0.023400000000000001,0,0,0,0,0,0,0,0
-0.023300000000000001,0,0,0,0,0,0,0,0
-0.023199999999999998,0,0,0,0,0,0,0,0
-0.023099999999999999,0,0,0,0,0,0,0,0
-0.023,0,0,0,0,0,0,0,0
-0.0229,0,0,0,0,0,0,0,0
-0.022800000000000001,0,0,0,0,0,0,0,0
-0.022700000000000001,0,0,0,0,0,0,0,0
-0.022599999999999999,0,0,0,0,0,0,0,0
-0.022499999999999999,0,0,0,0,0,0,0,0
-0.0224,0,0,0,0,0,0,0,0
-0.0223,0,0,0,0,0,0,0,0
-0.022200000000000001,0,0,0,0,0,0,0,0
-0.022100000000000002,0,0,0,0,0,0,0,0
-0.021999999999999999,0,0,0,0,0,0,0,0
-0.021899999999999999,0,0,0,0,0,0,0,0
-0.0218,0,0,0,0,0,0,0,0
-0.021700000000000001,0,0,0,0,0,0,0,0
-0.021600000000000001,0,0,0,0,0,0,0,0
-0.021499999999999998,0,0,0,0,0,0,0,0
-0.021399999999999999,0,0,0,0,0,0,0,0
-0.021299999999999999,0,0,0,0,0,0,0,0
-0.0212,0,0,0,0,0,0,0,0
-0.021100000000000001,0,0,0,0,0,0,0,0
-0.021000000000000001,0,0,0,0,0,0,0,0
-0.020899999999999998,0,0,0,0,0,0,0,0
-0.020799999999999999,0,0,0,0,0,0,0,0
-0.0207,0,0,0,0,0,0,0,0
-0.0206,0,0,0,0,0,0,0,0
-0.020500000000000001,0,0,0,0,0,0,0,0
-0.020400000000000001,0,0,0,0,0,0,0,0
-0.020299999999999999,0,0,0,0,0,0,0,0
-0.020199999999999999,0,0,0,0,0,0,0,0
-0.0201,0,0,0,0,0,0,0,0
-0.02,0,0,0,0,0,0,0,0
-0.019900000000000001,0,0,0,0,0,0,0,0
-0.019800000000000002,0,0,0,0,0,0,0,0
-0.019699999999999999,0,0,0,0,0,0,0,0
-0.019599999999999999,0,0,0,0,0,0,0,0
-0.0195,0,0,0,0,0,0,0,0
-0.019400000000000001,0,0,0,0,0,0,0,0
-0.019300000000000001,0,0,0,0,0,0,0,0
-0.019199999999999998,0,0,0,0,0,0,0,0
-0.019099999999999999,0,0,0,0,0,0,0,0
-0.019,0,0,0,0,0,0,0,0
-0.0189,0,0,0,0,0,0,0,0
-0.018800000000000001,0,0,0,0,0,0,0,0
-0.018700000000000001,0,0,0,0,0,0,0,0
-0.018599999999999998,0,0,0,0,0,0,0,0
-0.018499999999999999,0,0,0,0,0,0,0,0
-0.0184,0,0,0,0,0,0,0,0
-0.0183,0,0,0,0,0,0,0,0
-0.018200000000000001,0,0,0,0,0,0,0,0
-0.018100000000000002,0,0,0,0,0,0,0,0
-0.017999999999999999,0,0,0,0,0,0,0,0
-0.017899999999999999,0,0,0,0,0,0,0,0
-0.0178,0,0,0,0,0,0,0,0
-0.0177,0,0,0,0,0,0,0,0
-0.017600000000000001,0,0,0,0,0,0,0,0
-0.017500000000000002,0,0,0,0,0,0,0,0
-0.017399999999999999,0,0,0,0,0,0,0,0
-0.017299999999999999,0,0,0,0,0,0,0,0
-0.0172,0,0,0,0,0,0,0,0
-0.017100000000000001,0,0,0,0,0,0,0,0
-0.017000000000000001,0,0,0,0,0,0,0,0
-0.016899999999999998,0,0,0,0,0,0,0,0
-0.016799999999999999,0,0,0,0,0,0,0,0
-0.0167,0,0,0,0,0,0,0,0
-0.0166,0,0,0,0,0,0,0,0
-0.016500000000000001,0,0,0,0,0,0,0,0
-0.016400000000000001,0,0,0,0,0,0,0,0
-0.016299999999999999,0,0,0,0,0,0,0,0
-0.016199999999999999,0,0,0,0,0,0,0,0
-0.0161,0,0,0,0,0,0,0,0
-0.016,0,0,0,0,0,0,0,0
-0.015900000000000001,0,0,0,0,0,0,0,0
-0.015800000000000002,0,0,0,0,0,0,0,0
-0.015699999999999999,0,0,0,0,0,0,0,0
-0.015599999999999999,0,0,0,0,0,0,0,0
-0.0155,0,0,0,0,0,0,0,0
-0.0154,0,0,0,0,0,0,0,0
-0.015299999999999999,0,0,0,0,0,0,0,0
-0.0152,0,0,0,0,0,0,0,0
-0.015100000000000001,0,0,0,0,0,0,0,0
-0.014999999999999999,0,0,0,0,0,0,0,0
-0.0149,0,0,0,0,0,0,0,0
-0.014800000000000001,0,0,0,0,0,0,0,0
-0.0147,0,0,0,0,0,0,0,0
-0.0146,0,0,0,0,0,0,0,0
-0.014500000000000001,0,0,0,0,0,0,0,0
-0.0144,0,0,0,0,0,0,0,0
-0.0143,0,0,0,0,0,0,0,0
-0.014200000000000001,0,0,0,0,0,0,0,0
-0.0141,0,0,0,0,0,0,0,0
-0.014,0,0,0,0,0,0,0,0
-0.013899999999999999,0,0,0,0,0,0,0,0
-0.0138,0,0,0,0,0,0,0,0
-0.0137,0,0,0,0,0,0,0,0
-0.013599999999999999,0,0,0,0,0,0,0,0
-0.0135,0,0,0,0,0,0,0,0
-0.0134,0,0,0,0,0,0,0,0
-0.013299999999999999,0,0,0,0,0,0,0,0
-0.0132,0,0,0,0,0,0,0,0
-0.013100000000000001,0,0,0,0,0,0,0,0
-0.012999999999999999,0,0,0,0,0,0,0,0
-0.0129,0,0,0,0,0,0,0,0
-0.012800000000000001,0,0,0,0,0,0,0,0
-0.012699999999999999,0,0,0,0,0,0,0,0
-0.0126,0,0,0,0,0,0,0,0
-0.012500000000000001,0,0,0,0,0,0,0,0
-0.0124,0,0,0,0,0,0,0,0
-0.0123,0,0,0,0,0,0,0,0
-0.012200000000000001,0,0,0,0,0,0,0,0
-0.0121,0,0,0,0,0,0,0,0
-0.012,0,0,0,0,0,0,0,0
-0.011900000000000001,0,0,0,0,0,0,0,0
-0.0118,0,0,0,0,0,0,0,0
-0.0117,0,0,0,0,0,0,0,0
-0.011599999999999999,0,0,0,0,0,0,0,0
-0.0115,0,0,0,0,0,0,0,0
-0.0114,0,0,0,0,0,0,0,0
-0.011299999999999999,0,0,0,0,0,0,0,0
-0.0112,0,0,0,0,0,0,0,0
-0.0111,0,0,0,0,0,0,0,0
-0.010999999999999999,0,0,0,0,0,0,0,0
-0.0109,0,0,0,0,0,0,0,0
-0.010800000000000001,0,0,0,0,0,0,0,0
-0.010699999999999999,0,0,0,0,0,0,0,0
-0.0106,0,0,0,0,0,0,0,0
-0.010500000000000001,0,0,0,0,0,0,0,0
-0.0104,0,0,0,0,0,0,0,0
-0.0103,0,0,0,0,0,0,0,0
-0.010200000000000001,0,0,0,0,0,0,0,0
-0.0101,0,0,0,0,0,0,0,0
-0.01,0,0,0,0,0,0,0,0
-0.0099000000000000008,0,0,0,0,0,0,0,0
-0.0097999999999999997,0,0,0,0,0,0,0,0
-0.0097000000000000003,0,0,0,0,0,0,0,0
-0.0095999999999999992,0,0,0,0,0,0,0,0
-0.0094999999999999998,0,0,0,0,0,0,0,0
-0.0094000000000000004,0,0,0,0,0,0,0,0
-0.0092999999999999992,0,0,0,0,0,0,0,0
-0.0091999999999999998,0,0,0,0,0,0,0,0
-0.0091000000000000004,0,0,0,0,0,0,0,0
-0.0089999999999999993,0,0,0,0,0,0,0,0
-0.0088999999999999999,0,0,0,0,0,0,0,0
-0.0088000000000000005,0,0,0,0,0,0,0,0
-0.0086999999999999994,0,0,0,0,0,0,0,0
-0.0086,0,0,0,0,0,0,0,0
-0.0085000000000000006,0,0,0,0,0,0,0,0
-0.0083999999999999995,0,0,0,0,0,0,0,0
-0.0083000000000000001,0,0,0,0,0,0,0,0
-0.0082000000000000007,0,0,0,0,0,0,0,0
-0.0080999999999999996,0,0,0,0,0,0,0,0
-0.0080000000000000002,0,0,0,0,0,0,0,0
-0.0079000000000000008,0,0,0,0,0,0,0,0
-0.0077999999999999996,0,0,0,0,0,0,0,0
-0.0077000000000000002,0,0,0,0,0,0,0,0
-0.0076,0,0,0,0,0,0,0,0
-0.0074999999999999997,0,0,0,0,0,0,0,0
-0.0074000000000000003,0,0,0,0,0,0,0,0
-0.0073000000000000001,0,0,0,0,0,0,0,0
