#Digilent WaveForms Network Analyzer - Bode
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-03-14 17:11:09.335
#Start: 10 Hz
#Stop: 1e+07 Hz
#Steps: 500
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42113 V
#Offset: 0.000260719 V
#Relative: no
#Channel: Channel 2
#Range: 5.45542 V
#Offset: 8.94103e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10.000000000000021,-0.025555362556530511,20.83512283289107,-148.47965256469962
10.280732238308667,-0.034269783836546545,20.949097091628261,-148.665460910934
10.569345535579894,-0.032591509485026045,20.988076387599154,-149.11376461925047
10.866061138546003,-0.04523172398126929,21.108643383175334,-149.1746834342205
11.171106505048265,-0.015845196644047457,21.206637305213633,-149.39240298624284
11.484715478402913,-0.032705873548603027,21.333408245116221,-149.58118228520374
11.807128466661913,-0.034715988874596856,21.459979419890985,-149.67466287751839
12.138592626906314,-0.03319125224141576,21.576363302873851,-149.83408161538924
12.479362054713141,-0.033483826042151096,21.682912810598111,-150.1398266995113
12.829697978941502,-0.025650468482842619,21.785982475195009,-150.3520675888189
13.189868961986718,-0.03707627975927718,21.90919402269687,-150.41136313060667
13.560151105656375,-0.031391660765640171,22.02198269091063,-150.77145634862646
13.940828262825814,-0.034425798496581159,22.104540529733455,-151.02354276218622
14.332192255035768,-0.0085254198169180413,22.196816133024193,-151.32571883914568
14.734543096198374,-0.040771538000791176,22.304818840726014,-151.69843844385656
15.148189222583504,-0.018268268055178272,22.391675462370927,-151.98436222687349
15.573447729261384,-0.032422656646975315,22.493218003023753,-152.36218739760903
16.01064461318321,-0.04130044043739018,22.585056983150785,-152.68641428799972
16.460115023085532,-0.034134056196091542,22.666526898764204,-153.03856277294935
16.922203516410423,-0.020562291445031806,22.75534338170624,-153.29958173226137
17.397264323438058,-0.032110370183945053,22.856391267880916,-153.72109214441434
17.885661618834654,-0.031424209399833467,22.940488530172466,-154.06021977857256
18.387769800823307,-0.031743307438391474,23.019815332561713,-154.41007298312846
18.903973778192274,-0.023546686309292325,23.098580093763218,-154.93794109356742
19.434669265360263,-0.033277559545253334,23.18932614290679,-155.10251236339138
19.980263085725547,-0.037931552244973139,23.28199080775169,-155.65534832904603
20.541173483530685,-0.047078894873290533,23.359420567107545,-155.95443332170606
21.117830444482465,-0.014258135246350404,23.40393311731296,-156.36903909471852
21.710676025372717,-0.042239694212997614,23.498728544822093,-156.77726981097175
22.320164692952346,-0.033449279709236772,23.543010618505793,-157.13501050331743
22.946763672319406,-0.032481179875000342,23.628163575211229,-157.44278799262554
23.590953305086387,-0.024917726619953888,23.683774638676308,-157.94684288777654
24.253227417603554,-0.038726897626049736,23.765165559364995,-158.26826568265849
24.934093699518804,-0.022908049640599858,23.794125994905208,-158.88959007486329
25.634074092965204,-0.041443384277430467,23.854244450076166,-159.14577287569887
26.353705192673985,-0.02369869084196213,23.927591967091129,-159.44546092049399
27.093538657320543,-0.039452355151271538,23.994320417784113,-159.93477452961434
27.85414163241769,-0.03154312000614172,24.037854675569356,-160.40699102756179
28.636097185081219,-0.03957965009847686,24.089536056820929,-160.78736580929007
29.440004751000398,-0.02789832977987864,24.131660066220345,-161.21036779487611
30.266480593956953,-0.041183839853427356,24.191808797841574,-161.60126161506849
31.116158278243628,-0.022351020368619082,24.233295663513502,-161.83597786302695
31.989689154345442,-0.010150775125968197,24.25351446103295,-162.23589672975413
32.887742858255173,-0.014892483923790122,24.304318218193515,-162.64057376513853
33.811007824806886,-0.050417565554985472,24.358429780990434,-162.98087293832202
34.760191815419809,-0.021409854901682911,24.400083793024535,-163.3423588210365
35.736022460657956,-0.04712846718359958,24.435315472917331,-163.75722631119089
36.739247818020814,-0.04589625354678855,24.482599820094325,-164.07985708438599
37.770636945393726,-0.030565650822041754,24.497747640335866,-164.4863180805084
38.83098049059609,-0.042065060981262732,24.55113908464768,-164.79512494187182
39.921091297480622,-0.028953520636337007,24.55642395026382,-165.14187188692853
41.041805029047175,-0.049256480263179518,24.614211921021798,-165.53749701729089
42.193980808050327,-0.062161570291497527,24.639474541351206,-165.82823587232821
43.37850187558994,-0.022670306788896123,24.623631120589472,-166.21982599291704
44.596276268191041,-0.048613305191941097,24.685904851184496,-166.56069145477963
45.848237513891057,-0.034134374008949676,24.704387164777746,-166.88098635578274
47.135345347869162,-0.020830716485906797,24.704794012202939,-167.17962810514521
48.458586448165008,-0.033335205300298695,24.754852609588781,-167.46324666453535
49.818975192051759,-0.029059437890109507,24.765514025881448,-167.88738168667419
51.217554433642519,-0.029876005046049425,24.784470159309105,-168.16135937514446
52.655396303327663,-0.034138699056803098,24.810505334657527,-168.3350687023952
54.133603029653869,-0.029520259503578075,24.845195451751035,-168.60523762449742
55.653307784276628,-0.02883604703151384,24.851438516220306,-168.95733328416486
57.215675550632639,-0.038849643106874415,24.890630198940563,-169.23741648203728
58.821904016999682,-0.030110696769325047,24.893372528923159,-169.48319631611861
60.473224494626557,-0.036529818716227153,24.907692826014873,-169.70648129315597
62.170902861638467,-0.045722400767850696,24.931630334090443,-169.93437431829065
63.916240533440188,-0.031640641791903679,24.947867722810571,-170.13021594694197
65.710575460362833,-0.043229086092596007,24.968284905439507,-170.33252431182922
67.555283153316537,-0.032990172376856919,24.980343837141458,-170.63043647425587
69.451777738237169,-0.026110563341926858,24.987467359588496,-170.96693500086997
71.401513040134176,-0.035355375854705183,25.008572617548538,-171.12607363285804
73.405983697572267,-0.035205052425014836,25.020607617652843,-171.42325486088993
75.466726308439021,-0.044868364270625266,25.048666761477051,-171.45670544709662
77.5853206078786,-0.024296884799955322,25.047777461162084,-172.0202406414285
79.763390679292982,-0.026987143397451556,25.045251086753531,-172.01217915361639
82.002606199341486,-0.035741395903153186,25.082595541722679,-172.23363776624285
84.304683717889844,-0.040191817509469645,25.07323402143253,-172.47536272465379
86.671387973892422,-0.028286029245070555,25.071294070661434,-172.68204654923807
89.104533248215404,-0.052917057614319252,25.107178467047326,-172.77965084603656
91.605984754437088,-0.023292112612082628,25.093301058764904,-172.95756897022267
94.177660068695374,-0.030742791161716892,25.116197208146289,-173.17337950017998
96.82153059967095,-0.053151271732755259,25.136499366390922,-173.39733155615301
99.539623099842643,-0.065016663527450863,25.155519302206756,-173.48943305030704
102.33402121916423,-0.023276106247589717,25.157223594876704,-173.6106531546946
105.20686710236249,-0.049249114972522601,25.158368736307164,-173.89078601446516
108.16036303107116,-0.016538674811602264,25.149962150559023,-174.16788965742569
111.19677311207023,-0.032956357813596807,25.168928943013704,-174.17514647700685
114.31842501291503,-0.023375983694318613,25.175866255242376,-174.269512855773
