#Digilent WaveForms Network Analyzer - Bode
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-03-12 16:08:02.695
#Start: 9.892 Hz
#Stop: 1e+07 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 2
#Range: 5.45542 V
#Offset: 8.94103e-05 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (X),Channel 2 Phase (°)
9.8920000000000083,11.124887411673967,0.00011991287055934663
11.374643749620471,11.12582971253066,-0.0079480838915699792
13.079510759278199,11.123886005656978,-0.0059302592156313949
15.039908542874784,11.125002957813031,-0.0083947554788750267
17.29413684816765,11.124135809366772,-0.0086444769295006552
19.886235908318913,11.126805058177967,-0.013559013176504209
22.866846843715905,11.127376085476325,-0.016315973300006448
26.294201023493937,11.127152657519522,-0.011925352790427723
30.235257715643819,11.126583213745793,-0.02082645647743675
34.767012251659168,11.125976606558783,-0.017716428948382656
39.978000262971392,11.126602383841639,-0.020480542147961245
45.970027377025147,11.124652673037785,-0.014402801617443117
52.860158165584373,11.12577580517425,-0.032986346228383923
60.783003202801588,11.125768806002874,-0.021082083365875803
69.89334891466919,11.127290985138746,-0.036934768942231244
80.369181598492119,11.125083389432604,-0.043142264733162961
92.415164691811768,11.125865394669148,-0.056503744209038587
106.26663722521837,11.127487382085222,-0.064062893871891902
122.19421157571956,11.125570658371398,-0.078265675158831982
140.50906034568933,11.125043535558966,-0.087742745105373388
161.56899565569515,11.12649622244852,-0.095235748164171241
185.78545962065428,11.125940246451551,-0.10780588923364576
213.63156258031134,11.126228637860665,-0.12203099473339307
245.65132612472564,11.124017946422425,-0.14597133139693597
282.47031149318582,11.124379702073426,-0.17763809968403166
324.80784099063055,11.124992269045608,-0.19529381961808667
373.49105118800901,11.125566234328906,-0.2072576055754638
429.47105246005486,11.126068406041853,-0.24715758281836031
493.84151056487008,11.128919777431676,-0.29158293592246309
567.86001328849727,11.127894663275805,-0.33439233579341021
652.9726395886978,11.124221638922014,-0.37294916496060182
750.84221123845248,11.125497975307406,-0.42150691912902971
863.38077891373541,11.124350780708975,-0.47740479598836316
992.78697739724487,11.131932570877076,-0.57719762693886878
1141.5889796963377,11.126509368933291,-0.66246961128646831
1312.693889257841,11.126983476293796,-0.74892884119256564
1509.4445352417788,11.129148835460986,-0.87531618807001621
1735.6847804474976,11.125858061674963,-0.99590411027398318
1995.8346177950395,11.131613563701087,-1.151300838224941
2294.9765225008559,11.131574853938728,-1.3331840306495053
2638.9547469864606,11.127986413189198,-1.5516153562598163
3034.4894984169855,11.13212709109691,-1.7814820377539249
3489.3082295246395,11.131839030790276,-2.0409199847595829
4012.2966077094252,11.132474026938976,-2.3530883057611049
4613.6721118586129,11.131761973904625,-2.7203781149318118
5305.1836483977831,11.128029564031941,-3.1542175046548451
6100.3410864169491,11.126320032845145,-3.6340278290732826
7014.6791962358921,11.118189998095403,-4.1825171138942778
8066.0611479030895,11.11112945433648,-4.8370177373323315
