#Digilent WaveForms Network Analyzer - Bode
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-03-14 17:11:09.335
#Start: 10 Hz
#Stop: 1e+07 Hz
#Steps: 500
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42113 V
#Offset: 0.000260719 V
#Relative: no
#Channel: Channel 2
#Range: 5.45542 V
#Offset: 8.94103e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (X),Channel 2 Magnitude (X),Channel 2 Phase (°)
10.000000000000021,0.99706215409662935,11.009209637547995,-148.47965256469962
10.280732238308667,0.99606231841003023,11.154621917263592,-148.665460910934
10.569345535579894,0.99625479464676958,11.204792527702788,-149.11376461925047
10.866061138546003,0.99480604082634505,11.361408341941466,-149.1746834342205
11.171106505048265,0.99817741724539411,11.490313160944641,-149.39240298624284
11.484715478402913,0.99624167739553238,11.659244566959353,-149.58118228520374
11.807128466661913,0.99601115075450208,11.830387526622257,-149.67466287751839
12.138592626906314,0.99618600768377263,11.989971896331811,-149.83408161538924
12.479362054713141,0.99615245291506138,12.137958283039918,-150.1398266995113
12.829697978941502,0.99705123684985797,12.28284930845853,-150.3520675888189
13.189868961986718,0.9957405329185357,12.458326291462518,-150.41136313060667
13.560151105656375,0.99639242448722865,12.621155994462926,-150.77145634862646
13.940828262825814,0.99604442744723598,12.741689759879618,-151.02354276218622
14.332192255035768,0.99901895630922988,12.877774223280772,-151.32571883914568
14.734543096198374,0.99531700280453361,13.038899623401237,-151.69843844385656
15.148189222583504,0.99789899811582494,13.169939294152305,-151.98436222687349
15.573447729261384,0.99627416192998552,13.324806166758657,-152.36218739760903
16.01064461318321,0.99525639766416907,13.466441511164014,-152.68641428799972
16.460115023085532,0.99607788322263346,13.593345171418406,-153.03856277294935
16.922203516410423,0.99763547860723079,13.733055306826305,-153.29958173226137
17.397264323438058,0.99630998192542852,13.893752666526606,-153.72109214441434
17.885661618834654,0.9963886907128976,14.02892606795635,-154.06021977857256
18.387769800823307,0.99635208653648044,14.157636796170943,-154.41007298312846
18.903973778192274,0.99729275876069334,14.286603923823119,-154.93794109356742
19.434669265360263,0.99617610913510724,14.436645994865946,-155.10251236339138
19.980263085725547,0.99564249027824114,14.591486591346332,-155.65534832904603
20.541173483530685,0.99459450447721265,14.722142882171537,-155.95443332170606
21.117830444482465,0.99835981808736196,14.797783050544616,-156.36903909471852
21.710676025372717,0.99514878084798875,14.960166506246013,-156.77726981097175
22.320164692952346,0.99615641491367546,15.03663060827806,-157.13501050331743
22.946763672319406,0.99626744932068911,15.184768622718478,-157.44278799262554
23.590953305086387,0.99713535166456535,15.282300389259689,-157.94684288777654
24.253227417603554,0.99555132593760132,15.426175856857215,-158.26826568265849
24.934093699518804,0.99736608816813965,15.477695550521839,-158.88959007486329
25.634074092965204,0.99524001884672997,15.585194354729962,-159.14577287569887
26.353705192673985,0.99727530612203419,15.717359917750496,-159.44546092049399
27.093538657320543,0.99546817958515543,15.838571916346714,-159.93477452961434
27.85414163241769,0.99637505015594108,15.918155166117335,-160.40699102756179
28.636097185081219,0.99545359073518158,16.013151143234214,-160.78736580929007
29.440004751000398,0.99679323876383663,16.090998831904798,-161.21036779487611
30.266480593956953,0.99526975821339525,16.202813751551076,-161.60126161506849
31.116158278243628,0.99743005167029342,16.280389208524909,-161.83597786302695
31.989689154345442,0.99883203143247856,16.318330435141686,-162.23589672975413
32.887742858255173,0.99828690844525825,16.414056005029252,-162.64057376513853
33.811007824806886,0.99421227703201642,16.516631866328677,-162.98087293832202
34.760191815419809,0.99753813473610953,16.596029175969132,-163.3423588210365
35.736022460657956,0.99458882812064275,16.663482650298779,-163.75722631119089
36.739247818020814,0.99472993431730605,16.754442871753579,-164.07985708438599
37.770636945393726,0.99648718382911627,16.783687397125195,-164.4863180805084
38.83098049059609,0.99516878890725824,16.887173066743369,-164.79512494187182
39.921091297480622,0.99667215235021445,16.897451069365012,-165.14187188692853
41.041805029047175,0.99434518712622189,17.010246065876135,-165.53749701729089
42.193980808050327,0.99286893233435625,17.059791815404107,-165.82823587232821
43.37850187558994,0.99739338760584639,17.028702414664323,-166.21982599291704
44.596276268191041,0.9944188193898289,17.151228880256923,-166.56069145477963
45.848237513891057,0.99607784677658517,17.187763064121249,-166.88098635578274
47.135345347869162,0.99760464858089093,17.188568158499933,-167.17962810514521
48.458586448165008,0.99616949782229935,17.287915473998765,-167.46324666453535
49.818975192051759,0.99665999883018919,17.309148397135839,-167.88738168667419
